name,phone,email,notes
Sarah Johnson,555-123-4567,sarah.johnson@email.com,"Chronic lower back pain from desk job. Prefers deep tissue work on lumbar region. Heat therapy helps. Avoid prone position due to breathing issues."
Michael Chen,555-234-5678,mchen@gmail.com,"Marathon runner. Focus on IT band, quads, and calves. Has had previous hamstring strain (left). Likes firm pressure."
Emily Rodriguez,555-345-6789,emily.r@outlook.com,"Pregnant - currently 28 weeks. Side-lying position only. Focus on lower back and hip pain. No deep work on legs. Certified prenatal massage."
David Thompson,555-456-7890,dthompson@email.com,"Allergic to lavender, eucalyptus, and tree nut oils. Use unscented only. Fibromyalgia - light to medium pressure. Avoid trigger points."
Jennifer Williams,555-567-8901,jwilliams@work.com,"Chronic shoulder tension and headaches. Previous rotator cuff surgery (2019, right). TMJ issues - include jaw and neck work. Weekly appointments preferred."
Robert Garcia,555-678-9012,rgarcia@email.com,"Construction worker. Heavy focus on hands, forearms, and shoulders. Callused hands - extra time on finger extensors. Lower back issues from lifting."
Amanda Foster,555-789-0123,afoster@gmail.com,"Anxiety and stress-related tension. Very sensitive to touch - start light. Prefers relaxation massage with calming music. No sudden movements."
James Mitchell,555-890-1234,jmitchell@email.com,"Post-surgery recovery - lumbar fusion L4-L5 (6 months ago). Cleared for massage by surgeon. Avoid direct pressure on surgical site. Focus on surrounding muscles."
Lisa Anderson,555-901-2345,lisa.a@email.com,"Stress-related tension. Teacher - lots of standing. Focus on feet, calves, and upper back. Likes hot stones when available. Evening appointments only."
Christopher Lee,555-012-3456,clee@outlook.com,"Tennis player. Chronic tennis elbow (lateral epicondylitis) right arm. Wrist and forearm work essential. Ice after session recommended."
Patricia Brown,555-111-2222,pbrown@email.com,"Breast cancer survivor - lymphedema risk right arm. No deep pressure on right arm or right side of torso. Certified oncology massage required."
Thomas Wilson,555-222-3333,twilson@gmail.com,"Sciatica - pain radiates down left leg. Piriformis syndrome suspected. Glute and hip work helps. Stretching recommendations appreciated."
Maria Santos,555-333-4444,msantos@email.com,"Rheumatoid arthritis - hands and feet. Very gentle pressure on joints. Flare-ups vary - check in before each session. Heat helps."
Kevin O'Brien,555-444-5555,kobrien@work.com,"Software developer. Severe neck and upper back tension. Carpal tunnel symptoms both wrists. Ergonomic advice requested. Twice monthly."
Susan Taylor,555-555-6666,staylor@email.com,"Chronic migraine sufferer. Neck and shoulder tension triggers headaches. Dim lighting required. No strong scents. Cancel if migraine active."
Daniel Martinez,555-666-7777,dmartinez@email.com,"Auto accident 2023 - whiplash recovery. Still has neck stiffness. Cleared by doctor for massage. Gentle cervical work. Document progress."
Nancy Clark,555-777-8888,nclark@gmail.com,"Elderly client (72). Osteoporosis - no deep pressure. Thin skin - bruises easily. Arthritis in hands and knees. Prefers warm room."
Ryan Hughes,555-888-9999,rhughes@email.com,"CrossFit athlete. Focus on mobility and recovery. Tight hip flexors and thoracic spine. Okay with deep pressure. Morning appointments."
Jessica Adams,555-999-0000,jadams@outlook.com,"Postpartum - 4 months. Nursing mother. Upper back pain from feeding. Diastasis recti - no abdominal work. Short sessions (45 min) preferred."
William Turner,555-000-1111,wturner@email.com,"Parkinson's disease - early stage. Some tremor in hands. Massage helps with rigidity. Caregiver accompanies. Extra time for positioning."
